Text	Label
Aww, you're adorable, I can't!	Positive
You make me smile always!	Positive
You're the sweetest ever!	Positive
Aww, you're adorable, I can't!	Positive
Clever pet, good job!	Positive
You're the sweetest ever!	Positive
Aww, you're adorable, I can't!	Positive
Best pet in the world, hands down.	Positive
Such a smart and cute creature, omg!	Positive
I love you so much!	Positive
I'm so lucky to have you!	Positive
Such a smart and cute creature, omg!	Positive
You make me smile always!	Positive
I'm so lucky to have you!	Positive
Clever pet, good job!	Positive
Aww, you're adorable, I can't!	Positive
I'm so lucky to have you!	Positive
Every day with you is awesome!	Positive
Every day with you is awesome!	Positive
You make me smile always!	Positive
Best pet in the world, hands down.	Positive
I love you so much!	Positive
Clever pet, good job!	Positive
Such a smart and cute creature, omg!	Positive
You're the sweetest ever!	Positive
I love you so much!	Positive
Clever pet, good job!	Positive
I'm so lucky to have you!	Positive
Best pet in the world, hands down.	Positive
Such a smart and cute creature, omg!	Positive
You're my best friend, lil buddy!	Positive
Best pet in the world, hands down.	Positive
You're the sweetest ever!	Positive
I'm so lucky to have you!	Positive
Best pet in the world, hands down.	Positive
I love you so much!	Positive
Aww, you're adorable, I can't!	Positive
Best pet in the world, hands down.	Positive
You make me smile always!	Positive
I love you so much!	Positive
I love you so much!	Positive
I'm so lucky to have you!	Positive
Clever pet, good job!	Positive
I love you so much!	Positive
I'm so lucky to have you!	Positive
Clever pet, good job!	Positive
Best pet in the world, hands down.	Positive
Clever pet, good job!	Positive
Best pet in the world, hands down.	Positive
You're the sweetest ever!	Positive
You make me smile always!	Positive
Every day with you is awesome!	Positive
You're my best friend, lil buddy!	Positive
Such a smart and cute creature, omg!	Positive
You're my best friend, lil buddy!	Positive
You're the sweetest ever!	Positive
You make me smile always!	Positive
I'm so lucky to have you!	Positive
Aww, you're adorable, I can't!	Positive
I love you so much!	Positive
Aww, you're adorable, I can't!	Positive
Such a smart and cute creature, omg!	Positive
You're my best friend, lil buddy!	Positive
Best pet in the world, hands down.	Positive
I love you so much!	Positive
Clever pet, good job!	Positive
Best pet in the world, hands down.	Positive
